Date;Price;Open;High;Low;Vol.;Change %
12/01/2023;77.98;70.79;78.61;65.99;;10.53%
11/01/2023;70.55;79.40;80.27;70.44;;-11.16%
10/01/2023;79.41;81.42;86.60;78.15;;-2.50%
09/01/2023;81.45;86.03;86.32;80.51;;-5.32%
08/01/2023;86.03;86.85;90.39;82.31;;-0.90%
07/01/2023;86.81;89.12;93.50;85.11;;-3.08%
06/01/2023;89.57;80.78;96.00;78.01;;10.90%
05/01/2023;80.77;87.39;91.24;79.32;;-7.85%
04/01/2023;87.65;91.75;98.43;85.16;;-4.47%
03/01/2023;91.75;96.10;96.93;82.13;;-4.31%
02/01/2023;95.88;90.00;97.99;86.50;;6.38%
01/01/2023;90.13;80.17;90.33;74.75;;13.51%
12/01/2022;79.40;84.63;90.41;78.23;;-6.48%
11/01/2022;84.90;79.78;85.25;70.50;318.75K;6.16%
10/01/2022;79.97;66.55;82.58;64.25;400.79K;19.84%
09/01/2022;66.73;80.41;81.35;64.10;479.94K;-16.62%
08/01/2022;80.03;78.50;99.22;78.10;386.74K;1.88%
07/01/2022;78.55;89.32;90.35;75.49;385.44K;-12.88%
06/01/2022;90.16;84.22;90.33;79.10;359.01K;7.31%
05/01/2022;84.02;83.59;92.75;77.38;455.24K;-0.51%
04/01/2022;84.45;77.00;89.89;76.34;357.82K;10.42%
03/01/2022;76.48;82.60;84.43;55.00;739.47K;-6.97%
02/01/2022;82.21;89.74;98.49;80.12;569.36K;-7.88%
01/01/2022;89.24;79.80;90.63;77.55;489.11K;10.65%
12/01/2021;80.65;75.95;91.19;73.25;439.68K;6.50%
11/01/2021;75.73;59.41;76.06;57.00;202.62K;28.18%
10/01/2021;59.08;62.25;65.80;54.45;131.60K;-4.95%
09/01/2021;62.16;61.14;66.00;58.64;115.06K;1.78%
08/01/2021;61.07;53.47;61.29;52.86;67.02K;13.75%
07/01/2021;53.69;57.09;59.00;50.37;61.62K;-5.44%
06/01/2021;56.78;52.77;57.03;49.80;78.48K;8.69%
05/01/2021;52.24;49.59;57.48;48.87;100.94K;5.94%
04/01/2021;49.31;42.89;49.83;42.53;51.35K;14.97%
03/01/2021;42.89;38.16;44.07;37.03;93.56K;14.07%
02/01/2021;37.60;33.19;40.88;32.85;63.30K;13.32%
01/01/2021;33.18;33.14;35.59;31.56;24.82K;0.73%
12/01/2020;32.94;29.69;33.61;29.17;51.92K;11.28%
11/01/2020;29.60;24.00;29.80;23.30;49.68K;22.36%
10/01/2020;24.19;27.66;28.17;23.40;35.51K;-12.04%
09/01/2020;27.50;29.43;31.40;26.49;36.94K;-6.87%
08/01/2020;29.53;27.45;30.69;25.94;33.24K;8.49%
07/01/2020;27.22;27.55;31.35;25.80;32.22K;-1.66%
06/01/2020;27.68;22.07;27.90;21.74;11.11K;24.80%
05/01/2020;22.18;19.90;22.95;19.20;20.28K;8.78%
04/01/2020;20.39;17.95;23.00;17.66;14.92K;10.69%
03/01/2020;18.42;24.42;24.51;15.15;41.37K;-23.31%
02/01/2020;24.02;24.15;26.11;23.35;6.40K;-1.19%
01/01/2020;24.31;25.34;26.10;23.90;13.11K;-3.46%
12/01/2019;25.18;25.70;27.59;24.58;2.21K;-2.93%
11/01/2019;25.94;26.64;26.67;24.08;3.23K;-1.56%
10/01/2019;26.35;25.51;26.98;23.10;10.82K;2.29%
09/01/2019;25.76;26.94;28.34;25.78;7.21K;-5.88%
08/01/2019;27.37;29.46;30.73;25.92;4.08K;-6.84%
07/01/2019;29.38;28.10;31.22;27.10;7.39K;6.84%
06/01/2019;27.50;25.10;28.65;24.98;8.02K;8.06%
05/01/2019;25.45;25.83;27.65;25.68;4.09K;-7.22%
04/01/2019;27.43;22.46;28.36;22.46;10.82K;20.20%
03/01/2019;22.82;24.50;24.97;21.92;3.55K;-1.34%
02/01/2019;23.13;23.08;25.05;20.23;5.76K;-3.22%
01/01/2019;23.90;25.45;26.60;23.95;13.79K;-11.68%
12/01/2018;27.06;22.85;27.41;22.25;5.72K;19.21%
11/01/2018;22.70;18.30;23.32;18.30;7.65K;22.77%
10/01/2018;18.49;24.42;26.20;17.51;14.82K;-24.93%
09/01/2018;24.63;22.22;26.51;22.21;3.38K;6.16%
08/01/2018;23.20;19.62;23.65;19.56;4.00K;19.96%
07/01/2018;19.34;19.16;19.16;19.16;2.10K;17.14%
06/01/2018;16.51;16.51;16.51;16.51;0.55K;2.17%
05/01/2018;16.16;16.39;16.39;16.39;0.08K;10.68%
04/01/2018;14.60;14.60;14.60;14.60;0.42K;3.99%
03/01/2018;14.04;14.04;14.04;14.04;7.10K;30.85%
02/01/2018;10.73;10.73;10.73;10.73;0.01K;8.93%
01/01/2018;9.85;9.85;9.85;9.85;1.00K;14.53%
12/01/2017;8.60;7.69;7.69;7.69;0.70K;7.90%
11/01/2017;7.97;7.97;7.97;7.97;0.65K;2.05%
10/01/2017;7.81;7.81;7.81;7.81;0.75K;2.90%
09/01/2017;7.59;7.59;7.59;7.59;0.03K;16.06%
08/01/2017;6.54;6.54;6.54;6.54;0.27K;14.14%
07/01/2017;5.73;5.73;5.73;5.73;0.02K;5.72%
06/01/2017;5.42;5.42;5.42;5.42;4.38K;1.31%
05/01/2017;5.35;5.35;5.35;5.35;0.34K;8.30%
04/01/2017;4.94;4.94;4.94;4.94;0.02K;-1.98%
