,Unnamed: 0,month,InVolReg,OutVolReg,InVolFin,OutVolFin,TVolFin,TVolReg,WalletReg,WalletFin,Date,Time,Price,Coal_price_EU,Ngas_price_EU,Oil_price_EU,HDD,CDD,ESI,IPI
0,35,2008-01-01,4811560.0,4651629.0,0.0,0.0,0.0,9463189.0,386608986.0,1070236.0,2008-01-01,01/2008,19.1,62.33863296643565,7.270009512161978,62.45444662688545,473.03,0.0,105.2,213.7
1,36,2008-02-01,13140416.0,9006363.0,111220.0,72996.0,184216.0,22146779.0,390743039.0,1108460.0,2008-02-01,02/2008,21.31,89.50366151342554,7.350149172769188,64.29120332700705,407.42,0.0,103.5,217.5
2,37,2008-03-01,18629534.0,52980416.0,29730.0,761339.0,791069.0,71609950.0,356392157.0,376851.0,2008-03-01,03/2008,22.27,76.15766084884395,7.110195143942809,66.51478070457912,404.79,0.0,102.7,218.7
3,38,2008-04-01,89537866.0,336062044.0,55653.0,289537.0,345190.0,425599910.0,109867979.0,142967.0,2008-04-01,04/2008,23.88,78.09027998222335,7.739191162465875,69.95602010839312,269.77,0.11,100.4,231.0
4,39,2008-05-01,24747869.0,45158972.0,779179.0,28039.0,807218.0,69906841.0,89456876.0,894107.0,2008-05-01,05/2008,26.1,85.62062094234106,7.957832486983351,79.6658677612586,137.5,0.69,99.2,205.5
5,40,2008-06-01,143225.0,5948129.0,0.0,0.0,0.0,6091354.0,83651972.0,894107.0,2008-06-01,06/2008,28.77,102.71330289976213,8.120619816112647,85.54527835695365,56.59,13.09,95.0,204.0
6,41,2008-07-01,45943712.0,1514258.0,65252.0,0.0,65252.0,47457970.0,128081426.0,959359.0,2008-07-01,07/2008,22.06,114.140773620799,9.112238427393786,84.89095971988586,24.31,23.78,91.9,208.4
7,42,2008-08-01,579569.0,2727641.0,0.0,0.0,0.0,3307210.0,125933354.0,959359.0,2008-08-01,08/2008,25.19,105.7762938230384,9.776293823038396,76.02607520470784,39.65,28.71,89.4,203.3
8,43,2008-09-01,257827.0,4000550.0,0.0,0.0,0.0,4258377.0,122190631.0,959359.0,2008-09-01,09/2008,22.35,104.39139814879252,10.33474841673046,68.94292637559329,139.46,7.07,88.9,208.8
9,44,2008-10-01,172558397.0,103753588.0,1027137.0,1382510.0,2409647.0,276311985.0,190995440.0,603986.0,2008-10-01,10/2008,17.94,81.06890857228645,11.95766401441225,54.67843318994896,222.34,0.04,82.8,203.1
10,45,2008-11-01,125080398.0,39957880.0,201999.0,61000.0,262999.0,165038278.0,276117958.0,744985.0,2008-11-01,11/2008,15.52,72.45523091423185,12.417530631479735,41.81668237511781,374.65,0.01,77.60000000000001,191.3
11,46,2008-12-01,71800097.0,31751811.0,511000.0,547000.0,1058000.0,103551908.0,316166244.0,708985.0,2008-12-01,12/2008,15.45,58.48018440032717,11.525020447616924,30.9174727421444,486.88,0.0,71.3,189.1
12,47,2009-01-01,3854951.0,8890666.0,554526.0,105386.0,659912.0,12745617.0,311130529.0,1158125.0,2009-01-01,01/2009,11.57,59.97431830198656,10.491728982551551,33.88473449656318,562.94,0.0,71.2,192.3
13,48,2009-02-01,295839939.0,18370896.0,1237595.0,0.0,1237595.0,314210835.0,588599572.0,2395720.0,2009-02-01,02/2009,9.96,58.95971842002346,8.635119280406727,33.822839264763395,483.25,0.0,68.8,191.5
14,49,2009-03-01,82619043.0,90248150.0,51749.0,822798.0,874547.0,172867193.0,580970465.0,1624671.0,2009-03-01,03/2009,11.45,46.74329501915709,8.35249042145594,35.89202368512644,411.54,0.0,67.8,186.0
15,50,2009-04-01,154057050.0,345644311.0,101200.0,140948.0,242148.0,499701361.0,389383204.0,1584923.0,2009-04-01,04/2009,13.92,48.18802122820319,6.451857467778621,38.54832304415466,238.27,0.0,69.9,165.9
16,51,2009-05-01,4943945.0,11917236.0,0.0,47000.0,47000.0,16861181.0,382409913.0,1537923.0,2009-05-01,05/2009,14.65,47.252747252747255,5.926739926739927,42.447584161868136,123.67,1.77,74.10000000000001,177.3
17,52,2009-06-01,2935386.0,5246410.0,0.0,0.0,0.0,8181796.0,380098889.0,1537923.0,2009-06-01,06/2009,13.15,50.92751141552511,5.672089041095891,48.95606320049943,69.47,11.48,76.60000000000001,183.3
18,53,2009-07-01,2044568.0,5057961.0,0.0,0.0,0.0,7102529.0,377085496.0,1537923.0,2009-07-01,07/2009,13.66,52.38500851788756,4.734525837592277,46.07467348097671,22.36,29.8,79.5,183.0
19,54,2009-08-01,2876111.0,3079174.0,73803.0,0.0,73803.0,5955285.0,376882433.0,1611726.0,2009-08-01,08/2009,14.89,50.8130081300813,4.850014017381553,50.816345601878325,24.5,33.17,83.8,176.6
20,55,2009-09-01,1777887.0,3799538.0,0.0,59135.0,59135.0,5577425.0,374860782.0,1552591.0,2009-09-01,09/2009,13.36,46.44966350775992,4.896305452547727,46.48181443608021,75.68,6.21,86.3,170.0
21,56,2009-10-01,3168268.0,6203095.0,0.0,100000.0,100000.0,9371363.0,371825955.0,1452591.0,2009-10-01,10/2009,14.54,47.96841252699784,5.129589632829373,49.40205919889984,255.87,0.37,88.5,177.0
