,nace_id,year,acquired_amount,transferred_amount,auctions,free_allocations,emissions2
6994,01.11,2005,0,0,0,0,0.0
6995,01.11,2006,0,0,0,0,0.0
6996,01.11,2007,0,0,0,0,0.0
6997,01.11,2008,0,0,0,0,0.0
6998,01.11,2009,0,0,0,0,0.0
6999,01.11,2010,0,0,0,0,0.0
7000,01.11,2011,0,0,0,0,0.0
7001,01.11,2012,0,0,0,0,0.0
7002,01.11,2013,0,0,0,5099,0.0
7003,01.11,2014,9662,6955,0,4563,6955.0
7004,01.11,2015,6258,8917,0,4042,5152.0
7005,01.11,2016,8046,8082,0,3536,9321.0
7006,01.11,2017,9049,8808,0,3047,6306.0
7007,01.11,2018,10211,10243,0,2572,2825.0
7008,01.11,2019,5140,5360,0,2114,7218.0
7009,01.11,2020,11885,5108,0,1673,4603.0
7010,01.11,2021,9038,10476,0,1218,6438.0
7011,01.11,2022,0,0,0,1648,8125.0
7012,01.11,2023,0,0,0,1519,4644.0
7013,01.11,2024,0,0,0,1251,3373.0
7014,01.11,2025,0,0,0,1251,0.0
7015,01.11,2026,0,0,0,0,0.0
7016,01.11,2027,0,0,0,0,0.0
7017,01.11,2028,0,0,0,0,0.0
7018,01.11,2029,0,0,0,0,0.0
7019,01.11,2030,0,0,0,0,0.0
1482,01.13,2005,194941,28536,0,377385,0.0
1483,01.13,2006,708184,502957,0,375555,273787.0
1484,01.13,2007,636387,356263,0,375556,330494.0
1485,01.13,2008,1229637,818360,0,966095,356407.0
1486,01.13,2009,2170180,1498902,0,2054121,1268656.0
1487,01.13,2010,2265866,1821677,0,2023083,1411201.0
1488,01.13,2011,2198529,2235492,0,1971331,1728282.0
1489,01.13,2012,2231380,1970517,0,1938869,1608214.0
1490,01.13,2013,1138620,2959465,0,539840,1245448.0
1491,01.13,2014,710721,1150529,0,431533,902403.0
1492,01.13,2015,644765,1006237,0,371197,716567.0
1493,01.13,2016,749790,733291,0,255729,677895.0
1494,01.13,2017,502929,564033,0,203181,524040.0
1495,01.13,2018,487905,566681,0,156729,515597.0
1496,01.13,2019,480104,545577,0,111110,433102.0
1497,01.13,2020,257760,358987,0,70875,343720.0
1498,01.13,2021,221154,267810,0,27243,217581.0
1499,01.13,2022,0,0,0,15842,108099.0
1500,01.13,2023,0,0,0,14646,19792.0
1501,01.13,2024,0,0,0,13384,9476.0
1502,01.13,2025,0,0,0,13045,0.0
1503,01.13,2026,0,0,0,0,0.0
1504,01.13,2027,0,0,0,0,0.0
1505,01.13,2028,0,0,0,0,0.0
1506,01.13,2029,0,0,0,0,0.0
1507,01.13,2030,0,0,0,0,0.0
2080,01.19,2005,148805,6000,0,148805,0.0
2081,01.19,2006,135708,139460,0,114709,95691.0
2082,01.19,2007,117831,99085,0,114710,99085.0
2083,01.19,2008,270332,222712,0,164362,73867.0
2084,01.19,2009,212143,182058,0,164349,115612.0
2085,01.19,2010,191233,161815,0,179240,105465.0
2086,01.19,2011,182038,141176,0,174276,121232.0
2087,01.19,2012,185870,121874,0,174275,113974.0
